vote,better,bornuk,sex,age,educ
1,0,0,1,36,2
1,2,0,1,73,2
1,7,0,0,71,3
1,7,0,1,51,1
1,1,0,1,81,1
1,5,0,0,87,1
1,4,0,0,34,3
1,6,0,0,73,2
1,2,0,1,68,1
1,7,0,0,32,3
1,5,0,0,54,2
1,6,0,0,45,3
1,1,0,1,77,2
1,5,0,1,59,3
1,8,0,0,26,3
1,9,0,1,53,3
1,8,0,0,88,
1,5,0,0,73,1
1,6,0,1,67,1
1,5,1,0,62,
1,5,0,1,84,1
1,1,0,0,90,2
1,3,0,0,72,2
1,9,0,1,59,2
1,6,0,1,65,1
1,5,0,0,76,2
1,8,0,0,63,3
1,6,0,0,56,2
1,3,0,1,69,2
1,8,0,0,88,
1,4,0,1,74,2
1,0,0,1,73,
1,7,0,0,25,3
1,6,0,1,39,2
1,3,0,1,61,3
1,7,0,0,22,3
1,6,0,0,67,1
1,5,0,1,79,1
1,5,0,0,89,1
1,8,0,0,52,3
1,3,0,0,75,3
1,2,0,0,72,2
1,2,0,0,67,2
1,7,0,0,80,2
1,5,0,1,39,1
1,5,0,1,,3
1,8,0,1,28,3
1,6,0,0,72,2
1,10,0,0,34,3
1,10,0,0,34,3
1,7,0,1,79,2
1,8,0,0,65,3
1,5,0,1,51,
1,6,0,1,90,1
1,8,0,1,75,2
1,9,0,1,26,2
1,0,0,1,64,2
1,7,0,1,88,1
1,4,0,0,36,2
1,5,0,0,70,3
1,7,0,0,63,1
1,5,0,0,69,2
1,6,0,1,74,2
1,5,0,1,68,3
1,4,0,1,65,2
1,5,0,0,23,1
1,5,0,1,52,1
1,9,0,1,24,3
1,4,0,1,73,1
1,5,0,1,60,2
1,7,0,1,64,2
1,9,1,1,26,3
1,3,0,1,76,2
1,3,0,0,52,1
1,8,0,1,87,2
1,8,0,0,63,3
1,5,0,1,35,1
1,7,0,1,36,2
1,7,0,0,83,1
1,4,0,0,21,2
1,5,0,0,78,3
1,4,0,0,76,2
1,6,0,1,73,1
1,5,0,0,32,2
1,0,0,0,77,3
1,7,0,1,48,1
1,3,0,1,60,1
1,8,0,1,44,3
1,1,0,1,47,2
1,6,0,1,51,2
1,7,0,1,54,2
1,0,0,1,61,2
1,4,0,0,84,1
1,5,0,0,54,2
1,5,0,1,57,2
1,8,0,1,65,2
1,7,0,0,55,2
1,5,0,1,55,2
1,10,0,0,30,1
1,2,0,0,72,3
1,3,0,0,81,1
1,5,0,1,,2
1,6,0,1,35,3
1,3,0,1,60,2
1,8,1,1,60,3
1,7,0,1,56,
1,3,0,0,64,3
1,10,0,0,73,1
1,5,0,0,65,2
1,2,0,1,70,2
1,6,0,1,21,2
1,6,0,0,58,2
1,3,0,0,27,2
1,6,1,0,60,3
1,9,0,0,71,1
1,4,0,1,71,2
1,0,0,0,59,2
1,7,0,0,62,3
1,4,0,0,73,2
1,7,0,0,70,2
1,7,0,1,66,2
1,8,0,0,69,2
1,6,0,1,90,2
1,4,0,0,19,2
1,5,0,1,74,1
1,7,0,0,47,2
1,6,0,1,51,2
1,8,0,1,33,3
1,4,0,1,30,2
1,5,0,1,62,2
1,6,1,1,81,1
1,5,0,0,47,3
1,7,0,0,46,2
1,8,0,1,51,2
1,4,0,0,52,
1,2,0,0,53,2
1,2,0,1,84,1
1,3,0,0,61,2
1,5,0,1,61,2
1,5,0,1,59,2
1,8,1,0,42,3
1,3,0,1,59,2
1,5,1,1,37,3
1,10,1,1,54,3
1,7,0,1,65,2
1,3,0,1,67,2
1,2,0,1,58,1
1,3,0,0,67,2
1,0,0,1,65,3
1,5,0,1,62,2
1,5,0,1,56,3
1,6,0,1,37,3
1,0,0,0,71,3
1,7,0,0,76,2
1,5,0,0,64,3
1,4,0,0,59,3
1,6,0,0,58,
1,5,0,1,75,
1,6,0,1,84,1
1,8,1,0,62,1
1,7,0,1,82,2
1,7,0,1,86,2
1,5,0,0,79,3
1,5,0,1,77,3
1,6,0,1,39,1
1,4,0,0,72,1
1,5,0,0,67,1
1,2,0,0,47,1
1,4,0,0,69,3
1,9,1,0,47,2
1,8,0,0,77,1
1,5,0,0,36,2
1,6,0,1,37,3
1,5,0,1,78,3
1,4,0,0,44,2
1,4,0,0,57,2
1,4,0,1,60,2
1,8,0,1,31,3
1,7,0,1,61,2
1,0,0,1,82,1
1,2,0,0,41,1
1,3,0,0,61,2
1,6,0,1,54,
1,5,0,1,27,3
1,5,0,0,83,
1,8,0,0,31,3
1,5,0,1,47,2
1,7,0,1,71,1
1,6,0,0,41,3
1,5,0,0,76,1
1,7,0,0,48,2
1,5,0,0,87,2
1,7,0,0,48,3
1,7,0,1,65,2
1,6,0,1,58,2
1,5,1,1,72,1
1,5,0,1,56,2
1,7,0,0,63,2
1,6,0,1,57,2
1,5,0,0,48,1
1,5,0,1,74,1
1,7,0,1,80,2
1,5,0,0,90,1
1,5,0,1,54,2
1,5,0,0,32,3
1,8,0,0,68,2
1,6,0,0,86,3
1,7,0,1,59,3
1,8,0,1,48,1
1,5,0,1,64,2
1,8,0,1,39,2
1,5,1,0,46,3
1,5,0,1,37,3
1,7,0,0,46,2
1,6,0,1,75,1
1,8,0,0,66,2
1,4,0,1,38,2
1,5,0,0,45,2
1,0,0,0,69,1
1,6,0,1,46,2
1,5,0,1,36,2
1,5,0,1,68,2
1,5,0,1,41,2
1,7,0,0,58,3
1,8,0,1,85,3
1,5,0,0,61,2
1,7,0,1,67,2
1,5,0,0,54,2
1,1,0,0,52,2
1,10,0,1,42,3
1,5,0,1,37,2
1,6,0,0,76,2
1,5,0,1,63,3
1,8,0,1,54,1
1,7,0,0,49,3
1,6,0,0,71,3
1,7,0,1,73,2
1,5,0,0,82,1
1,7,0,0,83,2
1,6,0,0,63,2
1,10,0,0,56,2
1,7,0,1,35,1
1,7,1,0,68,3
1,5,0,1,85,2
1,7,0,0,50,3
1,5,0,1,64,2
1,5,0,1,55,2
1,3,1,1,66,1
1,7,0,0,57,2
1,8,0,1,22,2
1,5,0,1,65,2
1,8,0,1,42,3
1,5,0,0,50,2
1,6,1,1,29,3
1,5,0,1,69,2
1,4,0,0,49,1
1,2,0,0,32,1
1,5,0,0,61,3
1,4,0,1,39,3
1,6,0,0,89,1
1,8,0,0,83,3
1,1,0,1,58,2
1,3,0,1,82,1
1,9,0,0,79,2
1,7,0,1,72,1
1,8,0,0,90,1
1,7,0,1,58,3
1,3,0,0,82,2
1,2,0,1,71,2
1,8,0,0,70,2
1,8,0,0,81,1
1,8,0,0,57,3
1,8,0,1,85,2
1,10,0,0,73,3
1,5,0,0,49,2
1,6,0,0,72,1
1,3,0,1,73,1
1,7,0,1,62,2
1,5,0,1,78,3
1,4,0,0,65,2
1,9,0,0,48,1
1,10,0,0,73,3
1,7,0,0,33,2
1,2,0,1,76,1
1,6,0,0,71,1
1,2,0,1,74,1
1,6,0,0,42,2
1,1,0,1,52,1
1,1,0,0,44,2
1,6,0,0,53,2
1,6,0,1,73,1
1,4,0,0,58,2
1,7,0,0,85,2
1,7,0,0,78,2
1,6,0,0,25,2
1,7,0,0,57,2
1,4,0,0,57,2
1,6,0,1,67,2
1,8,0,1,59,2
1,6,0,0,72,1
1,8,1,1,35,3
1,2,0,1,79,1
1,5,0,0,65,1
1,0,0,1,69,1
1,6,0,1,49,3
1,8,0,1,69,2
1,2,0,0,61,1
1,5,0,0,62,3
1,2,0,0,67,3
1,4,0,1,37,3
1,7,0,0,36,2
1,2,0,1,73,1
1,4,0,1,56,2
1,0,0,1,77,1
1,6,1,0,82,2
1,5,0,1,38,2
1,1,0,1,75,1
1,5,0,0,74,1
1,5,0,0,75,3
1,3,0,0,86,3
1,5,0,0,70,1
1,2,0,0,78,1
1,5,0,1,75,2
1,9,0,1,45,3
1,8,0,1,79,2
1,2,0,0,69,1
1,3,0,1,69,1
1,3,0,0,62,2
1,,0,1,75,2
1,4,0,0,76,3
1,10,1,0,34,3
1,5,0,0,58,3
1,2,0,1,76,1
1,4,0,1,64,2
1,7,0,0,57,1
1,5,0,0,33,2
1,1,0,1,54,2
1,8,0,0,41,1
1,8,0,0,33,3
1,1,0,1,48,2
1,5,0,0,74,2
1,3,0,0,34,2
1,,0,0,66,3
1,3,0,1,66,2
1,6,0,1,55,3
1,8,0,0,29,3
1,4,0,1,70,1
1,1,0,0,56,2
1,1,1,1,69,2
1,8,0,0,55,3
1,5,0,1,59,2
1,6,0,0,68,3
1,7,0,1,86,1
1,7,0,1,70,
1,6,0,1,66,1
1,0,0,1,41,3
1,4,0,1,74,2
1,2,0,1,63,3
1,7,0,1,44,3
1,3,0,0,52,2
1,5,0,0,90,
1,5,0,1,65,
1,2,0,0,76,2
1,0,0,1,38,1
1,7,0,0,50,3
1,7,0,1,62,3
1,9,0,1,73,2
1,5,0,0,58,2
1,7,0,0,58,2
1,4,0,0,74,2
2,4,1,0,51,3
2,8,0,1,34,3
2,8,0,1,60,3
2,5,0,1,64,2
2,10,1,1,42,2
2,0,0,0,65,3
2,5,0,1,68,1
2,7,0,1,68,3
2,8,0,0,65,1
2,9,0,0,41,3
2,6,0,1,40,3
2,8,0,1,21,1
2,6,0,1,36,2
2,7,0,1,57,2
2,3,0,0,23,3
2,10,0,0,56,3
2,5,0,1,37,3
2,8,0,1,56,3
2,2,0,1,57,1
2,5,0,1,24,2
2,3,0,1,56,3
2,5,0,1,55,2
2,6,0,0,31,2
2,5,1,1,47,3
2,,0,0,71,2
2,3,1,1,71,3
2,4,0,1,68,1
2,7,0,1,66,2
2,5,0,0,79,2
2,1,0,1,87,1
2,5,0,1,77,1
2,0,0,1,60,1
2,5,0,1,60,1
2,8,1,1,32,3
2,6,0,0,34,2
2,8,1,0,55,2
2,5,0,0,31,2
2,5,0,0,43,2
2,9,0,1,35,3
2,7,0,0,32,3
2,7,1,1,68,2
2,4,0,1,66,2
2,5,0,1,26,2
2,8,1,0,51,3
2,8,0,1,30,1
2,6,0,1,28,3
2,7,0,1,49,3
2,8,0,1,51,1
2,2,0,1,44,3
2,8,0,0,47,2
2,6,0,1,45,2
2,8,0,1,77,1
2,5,0,1,47,2
2,5,0,1,49,3
2,7,0,0,36,2
2,7,0,1,71,1
2,8,0,0,59,2
2,2,0,0,55,2
2,6,0,1,25,3
2,2,0,0,80,1
2,6,0,1,35,3
2,8,0,1,45,3
2,3,0,0,73,2
2,7,0,0,55,3
2,1,0,1,49,1
2,7,0,1,46,3
2,10,0,0,85,3
2,0,0,1,59,2
2,7,1,0,32,2
2,6,0,0,24,3
2,2,0,0,90,1
2,7,1,1,48,3
2,7,0,0,21,2
2,7,0,0,51,1
2,2,0,1,51,3
2,10,0,0,36,3
2,7,0,0,26,3
2,3,0,1,63,2
2,1,0,0,64,2
2,7,1,1,38,2
2,1,0,1,73,1
2,8,0,0,44,3
2,6,0,1,34,2
2,6,0,0,23,
2,7,0,1,71,1
2,10,0,0,42,3
2,7,0,0,33,3
2,5,0,0,51,2
2,7,0,1,66,1
2,6,0,1,25,3
2,5,0,1,49,2
2,7,0,0,70,3
2,2,0,1,46,2
2,5,0,0,70,1
2,,1,0,42,1
2,7,1,1,23,3
2,9,1,1,61,2
2,3,0,0,83,1
2,3,0,1,38,2
2,9,0,0,24,3
2,8,1,0,33,3
2,10,0,0,72,3
2,7,0,1,48,2
2,7,0,1,60,2
2,5,0,1,71,1
2,8,0,0,37,2
2,6,1,0,40,3
2,6,0,1,68,1
2,8,0,0,60,2
2,10,1,1,78,3
2,9,0,0,51,1
2,5,0,1,90,1
2,9,0,1,62,2
2,4,0,0,75,1
2,8,1,1,50,1
2,4,0,1,60,2
2,7,1,1,29,3
2,5,0,1,24,2
2,7,1,0,40,3
2,5,0,1,57,3
2,10,0,0,36,3
2,6,0,0,71,3
2,3,1,1,38,2
2,9,0,1,30,3
2,10,0,1,61,3
2,7,0,0,51,3
2,5,0,1,61,2
2,4,0,1,72,2
2,4,0,1,53,2
2,8,0,1,30,2
2,5,0,1,78,2
2,2,0,1,67,2
2,7,0,1,41,2
2,0,0,1,66,1
2,6,1,1,33,3
2,5,0,1,37,2
2,0,0,1,54,2
2,10,0,1,24,2
2,7,1,0,25,2
2,1,0,1,60,2
2,9,1,1,38,3
2,6,0,1,63,1
2,10,0,1,43,3
2,10,0,1,39,3
2,8,0,1,63,2
2,10,1,0,23,3
2,5,0,0,64,3
2,5,0,0,31,2
2,8,0,1,33,3
2,8,0,0,73,2
2,6,0,0,64,2
2,3,0,1,46,1
2,3,0,1,72,1
2,6,1,1,35,2
2,7,0,0,28,3
2,6,0,0,26,3
2,5,1,0,21,2
2,10,0,1,73,1
2,9,1,1,71,3
2,5,0,0,72,2
2,0,0,1,90,1
2,8,0,1,45,2
2,4,0,0,70,1
2,2,0,1,42,2
2,5,0,1,41,2
2,5,1,0,66,1
2,3,0,0,49,1
2,6,1,1,23,2
2,6,0,1,,2
2,9,0,0,84,3
2,6,0,0,20,2
2,5,0,1,64,1
2,7,0,0,38,1
2,3,0,1,67,2
2,3,1,1,68,1
2,8,0,1,65,3
2,5,1,0,68,3
2,9,1,1,43,3
2,5,0,1,44,3
2,7,0,1,49,1
2,7,0,0,26,3
2,2,0,1,64,1
2,6,0,0,43,2
2,10,0,1,47,3
2,8,0,1,28,3
2,5,0,1,70,1
2,3,0,0,56,1
2,8,0,0,54,1
2,7,0,1,61,2
2,10,0,1,33,2
2,5,0,1,39,2
2,8,0,0,71,2
2,8,0,1,51,3
2,3,0,1,,3
2,7,0,0,65,2
2,1,0,0,56,2
2,5,0,1,37,2
2,7,0,1,47,2
2,7,0,0,28,2
2,10,0,0,21,2
2,6,0,0,41,1
2,5,0,0,39,1
2,7,1,1,50,2
2,9,0,0,47,2
2,0,0,1,88,1
2,5,1,1,35,2
2,7,0,1,66,3
2,8,0,1,60,2
2,5,0,1,43,3
2,4,0,1,68,1
2,5,0,1,62,2
2,5,0,1,54,3
2,5,0,1,70,1
2,10,0,1,71,2
2,8,0,1,53,2
2,8,0,0,33,3
2,7,0,1,36,1
2,7,0,1,36,3
2,0,0,1,50,2
2,7,0,1,69,2
2,4,0,1,70,1
2,10,0,0,50,2
2,9,0,1,27,3
2,9,1,0,42,1
2,3,0,0,79,1
2,7,0,1,64,3
2,8,0,1,39,3
2,8,0,1,30,2
2,9,0,0,28,3
2,10,0,0,47,
2,8,0,0,42,3
2,3,0,0,46,2
2,4,0,0,29,3
2,7,0,0,62,2
2,7,0,1,43,1
2,10,0,0,68,3
2,5,1,1,40,1
2,5,0,1,50,2
2,2,0,1,74,1
2,4,0,1,27,2
2,9,0,1,40,3
2,10,0,1,45,3
2,1,0,0,58,1
2,8,0,0,36,3
2,6,0,0,31,2
2,10,0,1,33,3
2,6,0,0,80,1
2,6,0,0,48,1
2,8,1,1,47,2
2,8,0,1,45,3
2,10,0,0,57,3
2,0,0,1,83,2
2,5,0,1,34,3
2,3,0,0,69,2
2,5,0,1,36,2
2,5,0,0,41,1
2,6,0,0,44,2
2,7,0,0,44,3
2,7,1,0,30,1
2,5,0,1,28,2
2,3,0,1,56,2
2,8,0,0,29,2
2,7,0,0,50,2
2,5,0,0,24,2
2,5,0,1,35,3
2,4,0,0,65,1
2,8,0,0,42,2
2,5,0,1,47,2
2,0,0,1,67,2
2,7,0,0,28,2
2,8,0,0,71,2
2,5,0,0,72,2
2,8,0,0,55,3
2,7,0,1,36,3
2,7,0,1,48,3
2,10,0,1,26,3
2,,0,1,52,2
2,2,0,1,70,2
2,9,0,0,46,3
2,8,0,0,57,3
2,8,0,1,36,3
2,7,0,1,41,3
2,8,1,0,36,3
2,5,0,1,87,1
2,6,0,1,74,2
2,8,0,0,42,3
2,7,0,1,83,2
2,8,0,0,42,3
2,4,0,1,44,3
2,8,0,1,57,2
2,10,0,1,69,3
2,5,0,1,40,2
2,6,0,1,32,3
2,8,0,1,68,3
2,8,1,0,61,2
2,9,0,0,69,2
2,10,0,1,40,3
2,5,1,1,54,3
2,10,0,0,35,3
2,2,0,0,41,2
2,9,0,1,45,3
2,8,0,1,35,3
2,2,0,0,50,1
2,3,0,0,26,2
2,6,0,0,88,3
2,7,1,0,69,1
2,4,0,0,68,2
2,8,0,1,80,3
2,6,0,1,57,2
2,9,0,0,32,3
2,10,0,0,40,3
2,5,0,1,48,3
2,5,0,1,56,3
2,9,0,0,30,3
2,8,0,1,52,2
2,9,0,0,32,3
2,4,0,1,54,1
2,5,0,0,66,1
2,2,0,0,85,1
2,10,1,1,38,3
2,5,0,1,30,1
2,8,0,1,60,3
2,3,0,1,43,1
2,5,0,0,82,1
2,6,0,1,75,1
2,8,0,0,35,3
2,7,0,0,70,2
2,6,0,0,73,2
2,7,1,1,52,3
2,10,0,1,68,3
2,8,0,1,41,3
2,4,0,1,54,2
2,5,0,1,23,2
2,3,0,1,42,1
2,5,0,0,56,1
2,8,1,0,67,2
2,10,0,1,30,2
2,1,0,0,58,1
2,10,1,1,43,1
2,10,1,1,43,3
2,7,0,0,27,3
2,,0,0,40,3
2,5,0,1,38,2
2,6,0,1,52,1
2,5,0,0,49,2
2,8,0,0,30,2
2,5,0,1,41,2
2,6,1,1,56,3
2,7,0,1,59,
2,7,0,1,63,1
2,7,1,1,30,2
2,6,0,0,61,2
2,10,1,1,41,1
2,8,0,0,45,3
2,9,1,0,37,3
2,6,0,0,57,2
2,3,0,0,76,2
2,8,0,0,49,2
2,5,0,0,51,2
2,5,0,1,78,1
2,7,0,0,34,3
2,7,0,1,41,3
2,9,0,0,28,3
2,0,0,1,63,2
2,4,0,1,38,2
2,5,1,0,61,1
2,5,0,1,50,3
2,4,0,0,36,3
2,5,0,1,66,2
2,8,0,1,48,2
2,6,1,1,60,3
2,5,0,1,,1
2,7,0,1,46,1
2,7,0,0,37,2
2,5,0,1,45,3
2,0,0,0,85,1
2,7,0,0,55,3
2,8,1,1,41,3
2,10,0,1,74,3
2,5,0,0,34,2
2,,0,1,47,3
2,8,0,0,47,3
2,8,0,1,24,3
2,7,0,0,79,1
2,9,0,0,74,2
2,4,0,1,46,2
2,0,0,1,61,2
2,4,0,0,73,
2,9,1,1,70,3
2,5,0,0,74,1
2,9,0,1,72,
2,6,0,1,41,3
2,7,0,0,56,2
2,3,0,1,68,1
2,10,0,1,46,3
2,7,0,1,22,3
2,9,1,1,47,2
2,10,0,0,56,2
2,9,1,1,43,3
2,10,0,0,42,2
2,1,0,0,77,1
2,5,0,0,48,1
2,7,0,1,29,3
2,5,0,1,83,2
2,8,0,0,23,2
2,8,0,1,31,2
2,5,0,0,48,1
2,9,0,1,52,3
2,,0,1,27,2
2,7,0,1,66,2
2,10,1,0,63,3
2,3,0,1,59,1
2,3,0,1,53,1
2,9,1,1,47,3
2,2,0,0,42,2
2,8,0,1,57,2
2,7,0,1,64,2
2,5,0,0,33,3
2,4,0,0,51,3
2,8,0,0,57,1
2,9,0,1,30,3
2,5,0,0,81,2
2,6,0,0,78,2
2,8,0,0,49,3
2,7,1,0,45,1
2,6,0,0,43,2
2,7,0,1,33,
2,8,0,0,59,1
2,7,0,1,26,2
2,10,0,0,66,3
2,7,0,1,30,3
2,9,0,1,63,3
2,6,0,1,48,
2,10,0,0,26,3
2,7,0,0,24,3
2,8,0,1,27,2
2,7,0,1,32,3
2,7,0,0,31,3
2,4,0,0,78,1
2,6,0,1,62,2
2,8,0,0,58,3
2,5,0,1,39,1
2,8,0,1,69,2
2,8,0,1,45,3
2,5,0,1,63,2
2,7,0,0,70,2
2,7,1,1,40,2
2,3,0,1,50,1
2,6,0,1,77,1
2,2,0,1,51,2
2,7,0,1,64,3
2,5,0,0,59,2
2,9,0,0,32,3
2,8,0,1,37,3
2,5,0,0,85,1
2,5,0,1,51,1
2,6,0,0,69,2
2,10,1,0,41,1
2,6,0,1,40,3
2,4,0,1,,2
2,7,0,1,60,3
2,8,0,0,54,3
2,3,0,0,30,1
2,9,0,1,51,3
2,5,0,0,62,3
2,1,0,1,24,2
2,7,0,0,46,2
2,5,0,1,25,3
2,7,0,0,29,2
2,7,0,1,84,1
2,9,0,1,40,2
2,5,0,0,50,2
2,8,0,1,50,2
2,10,0,0,32,3
2,10,0,0,43,3
2,8,0,0,40,3
2,8,0,1,60,1
2,6,1,1,37,2
2,4,0,0,89,1
2,10,0,0,40,3
2,7,1,0,,1
2,6,0,0,24,2
2,8,0,1,36,3
2,5,0,1,55,3
2,8,0,1,38,3
2,9,0,0,42,3
2,5,0,1,47,2
2,9,0,0,67,2
2,3,1,0,58,2
2,5,0,0,82,2
2,4,0,0,63,1
2,10,0,0,57,2
2,8,0,1,59,3
2,10,0,1,71,3
2,7,0,1,42,2
2,8,0,1,43,3
2,5,0,1,46,2
2,6,0,1,73,2
2,7,0,0,64,3
2,6,0,1,56,3
2,2,0,0,77,2
2,5,0,0,48,1
2,8,1,1,33,3
2,5,0,1,29,3
2,10,0,1,54,3
2,8,0,1,38,2
2,5,0,0,52,2
2,8,1,1,46,2
2,5,0,0,48,2
2,9,0,0,71,1
2,5,0,1,57,3
2,8,0,0,53,2
2,10,1,1,60,2
2,6,0,0,62,1
2,6,0,1,53,2
2,5,0,1,90,1
2,9,0,1,68,3
2,7,0,0,71,3
2,2,0,1,61,2
2,8,0,0,90,1
2,10,0,1,64,1
2,7,0,0,36,3
2,4,0,0,48,1
2,10,0,0,49,3
2,7,1,1,35,2
2,8,0,1,45,3
2,8,0,0,32,2
2,10,0,0,25,2
2,10,0,1,37,3
2,7,0,0,56,1
2,9,0,1,73,2
2,6,1,0,30,1
2,6,0,0,61,1
2,8,0,0,70,1
2,6,0,1,69,3
2,8,1,0,69,3
2,8,1,1,51,2
2,0,0,0,57,1
2,5,0,1,47,3
2,7,0,1,75,2
2,9,0,1,44,3
2,8,0,0,34,3
2,5,0,0,55,2
2,8,1,1,57,2
2,7,0,0,62,3
2,6,0,0,49,2
2,10,1,1,58,3
2,7,0,0,44,2
2,5,0,0,23,2
2,6,0,1,49,3
2,6,0,0,46,2
2,1,0,0,60,
